"id","state","emptot","emptot2","demp","chain","bk","kfc","roys","wendys","wage_st","wage_st2"
472,0,41.5,23.5,-18,"1",1,0,0,0,4.25,4.9
473,0,22.5,35.5,13,"1",1,0,0,0,4.75,4.5
475,0,32,21,-11,"1",1,0,0,0,4.5,4.5
476,0,24,23,-1,"1",1,0,0,0,4.25,4.75
477,0,26,20,-6,"1",1,0,0,0,4.25,6.25
478,0,48.5,27,-21.5,"1",1,0,0,0,4.5,4.35
485,0,8.5,13,4.5,"2",0,1,0,0,4.5,4.5
491,0,18.5,0,-18.5,"3",0,0,1,0,4.5,NA
492,0,13,13.5,0.5,"3",0,0,1,0,4.5,4.5
497,0,22.5,NA,NA,"4",0,0,0,1,4.5,NA
498,0,28,26.75,-1.25,"4",0,0,0,1,4.75,5
501,0,24.5,43.5,19,"1",1,0,0,0,4.25,4.75
503,0,18.5,41.25,22.75,"1",1,0,0,0,4.75,4.5
510,0,23.5,14.25,-9.25,"3",0,0,1,0,4.25,NA
511,0,15,12.5,-2.5,"3",0,0,1,0,4.75,4.75
514,0,18,34,16,"3",0,0,1,0,4.5,4.25
516,0,20.25,10,-10.25,"3",0,0,1,0,4.75,4.91
521,0,15.5,14,-1.5,"1",1,0,0,0,4.25,4.4
522,0,21,17.5,-3.5,"1",1,0,0,0,4.35,4.25
113,1,15,27,12,"1",1,0,0,0,NA,5.05
123,1,15,21.5,6.5,"1",1,0,0,0,NA,5.05
135,1,24,23,-1,"3",0,0,1,0,NA,5.05
138,1,19.25,21.5,2.25,"3",0,0,1,0,NA,5.05
153,1,21.5,34.5,13,"1",1,0,0,0,NA,5.05
181,1,9.5,10.5,1,"2",0,1,0,0,NA,5.05
191,1,44,16.5,-27.5,"4",0,0,0,1,NA,5.05
231,1,NA,23,NA,"1",1,0,0,0,NA,5.05
236,1,21,38,17,"1",1,0,0,0,NA,5.05
254,1,28,36,8,"4",0,0,0,1,NA,5.25
255,1,10,16,6,"4",0,0,0,1,NA,NA
294,1,20.5,20.5,0,"1",1,0,0,0,NA,5.05
306,1,25.5,19,-6.5,"3",0,0,1,0,NA,5.05
311,1,19,53,34,"4",0,0,0,1,NA,5.05
315,1,16.5,16.5,0,"1",1,0,0,0,NA,5.05
335,1,17,16.5,-0.5,"1",1,0,0,0,NA,5.05
372,1,27.5,45,17.5,"1",1,0,0,0,NA,5.05
6,1,5,8,3,"3",0,0,1,0,5,5.05
14,1,16,15.5,-0.5,"2",0,1,0,0,5.12,5.05
26,1,41.5,24,-17.5,"1",1,0,0,0,5.56,5.05
27,1,13,7.5,-5.5,"2",0,1,0,0,5,5.05
30,1,10,7.5,-2.5,"2",0,1,0,0,5,5.05
31,1,15,18.5,3.5,"2",0,1,0,0,5.25,5.05
33,1,26,16.5,-9.5,"3",0,0,1,0,5,5.05
36,1,18,33.5,15.5,"4",0,0,0,1,5.5,5.05
77,1,35,37,2,"3",0,0,1,0,5,5.05
78,1,21,18,-3,"3",0,0,1,0,5,5.05
81,1,34.5,26.5,-8,"4",0,0,0,1,5,5.05
82,1,18.25,33,14.75,"4",0,0,0,1,5,5.05
83,1,24.5,NA,NA,"4",0,0,0,1,5,5.05
85,1,20,20.5,0.5,"1",1,0,0,0,5.5,5.05
89,1,16,24.5,8.5,"1",1,0,0,0,5,5.5
94,1,17.5,16,-1.5,"2",0,1,0,0,5,5.05
103,1,20.5,NA,NA,"4",0,0,0,1,5,5.05
112,1,20,23.5,3.5,"4",0,0,0,1,5,5.05
128,1,12.25,13,0.75,"2",0,1,0,0,5,5.05
129,1,33,20,-13,"3",0,0,1,0,5.25,5.05
131,1,31.5,22,-9.5,"3",0,0,1,0,5.5,5.05
139,1,NA,28.5,NA,"4",0,0,0,1,5.5,5.5
143,1,18,NA,NA,"4",0,0,0,1,5.37,NA
144,1,28,25.5,-2.5,"4",0,0,0,1,5.05,5.05
145,1,16.5,18,1.5,"1",1,0,0,0,5,5.28
147,1,14.75,9,-5.75,"1",1,0,0,0,5.12,5.25
148,1,23.5,26.5,3,"1",1,0,0,0,5.25,5.05
151,1,10,0,-10,"1",1,0,0,0,5,NA
152,1,46.5,23.75,-22.75,"1",1,0,0,0,5.12,5.05
157,1,15.5,18,2.5,"2",0,1,0,0,5,5.5
161,1,24.5,36,11.5,"3",0,0,1,0,5,5.05
163,1,24,21,-3,"3",0,0,1,0,5,5.05
164,1,23,15.5,-7.5,"3",0,0,1,0,5,5.05
165,1,28,22.5,-5.5,"4",0,0,0,1,5,5.05
169,1,32.5,27,-5.5,"1",1,0,0,0,5,5.05
170,1,23,34,11,"1",1,0,0,0,5,5.05
187,1,17,16.75,-0.25,"3",0,0,1,0,5.62,5.05
190,1,30,26,-4,"3",0,0,1,0,5,5.05
196,1,21.5,18,-3.5,"4",0,0,0,1,5,5.05
197,1,32,20.5,-11.5,"1",1,0,0,0,5,5.05
234,1,8,15,7,"1",1,0,0,0,5,5.05
240,1,35.5,25.5,-10,"3",0,0,1,0,5.1,5.05
241,1,31.5,NA,NA,"3",0,0,1,0,5,5.05
242,1,33,20,-13,"3",0,0,1,0,5.25,5.05
245,1,22,18,-4,"3",0,0,1,0,5.5,5.05
259,1,23,26.5,3.5,"1",1,0,0,0,5,5.05
268,1,23,23.25,0.25,"1",1,0,0,0,5,5.05
271,1,8.5,10.5,2,"2",0,1,0,0,5,5.05
272,1,12.5,12,-0.5,"2",0,1,0,0,5.05,5.25
274,1,9.5,9.5,0,"2",0,1,0,0,5.5,5.05
276,1,13,15.5,2.5,"2",0,1,0,0,5,5.05
296,1,17,14.5,-2.5,"1",1,0,0,0,5.3,5.05
299,1,9,14,5,"2",0,1,0,0,5,5.05
301,1,19,6.5,-12.5,"2",0,1,0,0,5,5.05
320,1,11.5,10,-1.5,"2",0,1,0,0,5,5.05
321,1,13,11.5,-1.5,"2",0,1,0,0,5,5.05
324,1,48,46.5,-1.5,"3",0,0,1,0,5.25,5.05
326,1,45.5,26.5,-19,"3",0,0,1,0,5.15,5.05
330,1,15,16,1,"4",0,0,0,1,5.42,5.67
334,1,18,13,-5,"1",1,0,0,0,5,5.05
349,1,21,14,-7,"3",0,0,1,0,5,5.05
354,1,20.5,15.5,-5,"4",0,0,0,1,5.06,5.05
356,1,20.5,18,-2.5,"4",0,0,0,1,5.05,5.05
357,1,17.5,27,9.5,"4",0,0,0,1,5,5.25
371,1,27.5,27,-0.5,"1",1,0,0,0,5,5.25
373,1,24,29.5,5.5,"1",1,0,0,0,5,5.05
375,1,34,16.5,-17.5,"1",1,0,0,0,5.25,5.5
378,1,18,31.5,13.5,"1",1,0,0,0,5,5.05
381,1,24,27.5,3.5,"1",1,0,0,0,5,5.05
403,1,NA,25.5,NA,"3",0,0,1,0,5.05,5.05
406,1,33.5,32,-1.5,"4",0,0,0,1,5,5.5
407,1,12,14.5,2.5,"4",0,0,0,1,5.75,5.5
409,1,35,10.5,-24.5,"1",1,0,0,0,5,5.05
1,1,35,44,9,"1",1,0,0,0,4.5,5.05
2,1,16,15.5,-0.5,"1",1,0,0,0,4.75,5.25
3,1,15.5,10.5,-5,"2",0,1,0,0,4.25,5.05
4,1,19,24,5,"3",0,0,1,0,4.75,5.05
5,1,24,29,5,"3",0,0,1,0,4.5,5.15
8,1,NA,30.5,NA,"4",0,0,0,1,4.8,5.05
9,1,36,20,-16,"1",1,0,0,0,4.37,5.05
10,1,29,26.5,-2.5,"1",1,0,0,0,4.25,5.05
11,1,29,27,-2,"1",1,0,0,0,4.25,5.05
12,1,21.25,26.5,5.25,"1",1,0,0,0,4.37,5.05
13,1,15.5,10.5,-5,"2",0,1,0,0,4.5,5
15,1,19.5,18,-1.5,"3",0,0,1,0,4.6,5.05
16,1,21,18.5,-2.5,"3",0,0,1,0,4.5,5.05
17,1,14,25.5,11.5,"3",0,0,1,0,4.37,5.05
18,1,30.5,32,1.5,"3",0,0,1,0,4.25,5.05
19,1,23.5,33,9.5,"1",1,0,0,0,4.25,5.05
21,1,14,7.5,-6.5,"2",0,1,0,0,4.45,5.05
22,1,14.5,12.5,-2,"3",0,0,1,0,4.35,5.05
23,1,15.5,24,8.5,"1",1,0,0,0,4.5,5.05
24,1,26.5,29,2.5,"1",1,0,0,0,4.75,5.05
28,1,8,10,2,"2",0,1,0,0,4.5,NA
29,1,5.5,9.5,4,"2",0,1,0,0,4.5,5.05
32,1,23.25,17.5,-5.75,"3",0,0,1,0,4.5,5.05
34,1,15.5,17.5,2,"3",0,0,1,0,4.95,5.05
35,1,32.25,25,-7.25,"4",0,0,0,1,4.5,5.05
38,1,30,26,-4,"1",1,0,0,0,4.25,5.05
63,1,NA,24,NA,"1",1,0,0,0,4.25,5.05
64,1,30.5,22.5,-8,"1",1,0,0,0,4.5,5.05
65,1,14,NA,NA,"1",1,0,0,0,4.8,5.05
66,1,27,35,8,"1",1,0,0,0,4.25,5.05
67,1,18.5,17.75,-0.75,"1",1,0,0,0,4.5,5.05
68,1,38,24.5,-13.5,"1",1,0,0,0,4.25,5.05
69,1,16.5,16.5,0,"1",1,0,0,0,4.25,5.05
70,1,50,30,-20,"1",1,0,0,0,4.5,5.05
71,1,20.5,39,18.5,"1",1,0,0,0,4.75,5.05
73,1,6.5,17,10.5,"2",0,1,0,0,4.25,5.05
75,1,13.5,12.5,-1,"2",0,1,0,0,4.25,5.05
76,1,28,38.5,10.5,"3",0,0,1,0,4.25,5.05
79,1,21.5,20,-1.5,"3",0,0,1,0,4.5,5.05
80,1,NA,21,NA,"4",0,0,0,1,4.25,5.05
84,1,24,32,8,"1",1,0,0,0,4.5,5.05
86,1,20.5,19,-1.5,"1",1,0,0,0,4.25,5.05
87,1,NA,20,NA,"1",1,0,0,0,4.5,5.05
88,1,23.5,26.5,3,"1",1,0,0,0,4.25,5.05
91,1,23,19,-4,"1",1,0,0,0,4.25,5.05
92,1,17,20,3,"1",1,0,0,0,4.25,5.05
93,1,20.5,22.5,2,"1",1,0,0,0,4.25,5.05
95,1,23.5,10,-13.5,"2",0,1,0,0,4.25,5.05
96,1,9.5,12.5,3,"2",0,1,0,0,4.25,5.05
97,1,10,11,1,"2",0,1,0,0,4.25,5.05
98,1,14,12.5,-1.5,"2",0,1,0,0,4.25,5.05
99,1,85,59,-26,"3",0,0,1,0,4.75,5.05
101,1,15,19,4,"3",0,0,1,0,4.75,5.05
102,1,21.5,15.5,-6,"3",0,0,1,0,4.4,5.05
104,1,53,19,-34,"4",0,0,0,1,4.62,5.05
105,1,24,26.5,2.5,"1",1,0,0,0,4.25,5.05
106,1,20.5,17.5,-3,"1",1,0,0,0,4.25,5.05
107,1,14.5,20.5,6,"1",1,0,0,0,4.25,5.05
108,1,25,28,3,"1",1,0,0,0,4.25,5.05
111,1,27,30.25,3.25,"3",0,0,1,0,4.25,5.05
114,1,22.5,44,21.5,"1",1,0,0,0,4.75,5.25
115,1,36.5,17.5,-19,"1",1,0,0,0,4.75,5.05
116,1,17.25,31,13.75,"1",1,0,0,0,4.25,5.05
118,1,21.5,31,9.5,"1",1,0,0,0,4.25,5.05
119,1,24.5,28.5,4,"1",1,0,0,0,4.75,5.05
120,1,19,19,0,"1",1,0,0,0,4.5,5.05
122,1,25,41,16,"1",1,0,0,0,4.25,5.05
124,1,16,28,12,"1",1,0,0,0,4.25,5.05
125,1,19,9.5,-9.5,"2",0,1,0,0,4.5,5.05
130,1,22.75,25,2.25,"3",0,0,1,0,4.5,5.05
132,1,35,28,-7,"3",0,0,1,0,4.5,5.5
133,1,16,16,0,"3",0,0,1,0,4.75,5.05
134,1,21,22.75,1.75,"3",0,0,1,0,4.62,5.05
136,1,26.75,NA,NA,"3",0,0,1,0,4.25,NA
137,1,30.5,32,1.5,"3",0,0,1,0,4.25,5.05
140,1,23,27.5,4.5,"4",0,0,0,1,4.5,5.67
141,1,21.5,25.5,4,"4",0,0,0,1,4.75,5.05
142,1,36.5,60.5,24,"4",0,0,0,1,4.25,5.05
146,1,23,20.5,-2.5,"1",1,0,0,0,4.8,5.05
149,1,14,16,2,"1",1,0,0,0,4.5,5.05
150,1,17.25,25,7.75,"1",1,0,0,0,4.67,5.75
156,1,18.5,13,-5.5,"1",1,0,0,0,4.87,5.05
158,1,8.5,9,0.5,"2",0,1,0,0,4.5,5.05
159,1,14,16.5,2.5,"2",0,1,0,0,4.5,5.25
162,1,23,21,-2,"3",0,0,1,0,4.75,5.05
166,1,29,21.5,-7.5,"4",0,0,0,1,4.75,5.05
168,1,19,20,1,"1",1,0,0,0,4.25,5.25
171,1,21,21.25,0.25,"1",1,0,0,0,4.25,5.05
172,1,17,21.5,4.5,"1",1,0,0,0,4.75,5.05
173,1,36,31,-5,"1",1,0,0,0,4.85,5.05
174,1,25,33,8,"1",1,0,0,0,4.75,5.05
176,1,29.5,37.75,8.25,"1",1,0,0,0,4.62,5.05
178,1,22,9,-13,"2",0,1,0,0,4.25,5.05
179,1,11,11,0,"2",0,1,0,0,4.25,5.05
180,1,13.5,12.75,-0.75,"2",0,1,0,0,4.5,5.05
182,1,13.5,10.5,-3,"2",0,1,0,0,4.5,5.05
183,1,18,22,4,"2",0,1,0,0,4.62,5.05
185,1,9.5,8,-1.5,"2",0,1,0,0,4.5,5.05
186,1,24,25,1,"3",0,0,1,0,4.75,5.05
189,1,14.5,12.5,-2,"3",0,0,1,0,4.75,5.05
192,1,29,22.5,-6.5,"4",0,0,0,1,4.87,5.25
193,1,10.5,11.5,1,"4",0,0,0,1,4.5,5.05
195,1,18,23.5,5.5,"4",0,0,0,1,4.25,5.05
198,1,NA,30,NA,"1",1,0,0,0,4.25,5.05
199,1,9,16.5,7.5,"2",0,1,0,0,4.35,5.05
200,1,33,29,-4,"1",1,0,0,0,4.25,5.05
201,1,19.5,30,10.5,"1",1,0,0,0,4.5,5.05
202,1,41,22.5,-18.5,"1",1,0,0,0,4.25,5.05
203,1,17,24,7,"1",1,0,0,0,4.25,5.05
204,1,18.25,21.75,3.5,"1",1,0,0,0,4.25,5.05
207,1,17,13.5,-3.5,"2",0,1,0,0,4.75,5.2
208,1,32,24,-8,"3",0,0,1,0,4.62,5.05
209,1,26,28.5,2.5,"3",0,0,1,0,4.25,5.05
210,1,11.5,10,-1.5,"4",0,0,0,1,4.5,5.05
211,1,21,23.5,2.5,"1",1,0,0,0,4.5,5.05
212,1,22.75,30.5,7.75,"1",1,0,0,0,4.5,5.05
213,1,18.5,24.75,6.25,"1",1,0,0,0,4.55,5.05
214,1,20,22.5,2.5,"1",1,0,0,0,4.62,5.05
215,1,18,28,10,"1",1,0,0,0,4.5,5.05
216,1,10.5,14,3.5,"2",0,1,0,0,4.25,5.05
217,1,10.5,9,-1.5,"2",0,1,0,0,4.25,5.05
218,1,11,9.5,-1.5,"2",0,1,0,0,4.35,5.05
219,1,10.5,15.5,5,"2",0,1,0,0,4.25,5.05
220,1,12.5,12,-0.5,"2",0,1,0,0,4.25,5.05
221,1,18,11.5,-6.5,"2",0,1,0,0,4.6,5.05
222,1,17,12.5,-4.5,"3",0,0,1,0,4.25,5.05
223,1,15,16,1,"3",0,0,1,0,4.75,5.05
225,1,19.5,28.5,9,"3",0,0,1,0,4.75,5.05
226,1,13,15,2,"4",0,0,0,1,4.25,5.3
228,1,20.25,23.5,3.25,"4",0,0,0,1,4.5,5.05
229,1,26,30.5,4.5,"1",1,0,0,0,4.5,5.5
230,1,15.5,26.5,11,"1",1,0,0,0,4.25,5.05
232,1,24,27,3,"1",1,0,0,0,4.75,5.05
233,1,25.5,21.5,-4,"1",1,0,0,0,4.65,5.05
235,1,14.5,NA,NA,"1",1,0,0,0,4.25,5.05
237,1,21.5,21.5,0,"1",1,0,0,0,4.25,5.05
238,1,14,37.5,23.5,"2",0,1,0,0,4.75,5.05
239,1,20,11.5,-8.5,"2",0,1,0,0,4.25,5.05
243,1,22.5,21,-1.5,"3",0,0,1,0,4.5,5.05
244,1,30,28,-2,"3",0,0,1,0,4.25,5.05
247,1,24,24,0,"4",0,0,0,1,4.5,5.05
248,1,22,23,1,"4",0,0,0,1,4.75,5.05
249,1,13,19,6,"1",1,0,0,0,4.37,5.05
250,1,5,7,2,"2",0,1,0,0,4.5,5.05
253,1,13.5,14,0.5,"3",0,0,1,0,4.87,5.05
257,1,28,NA,NA,"1",1,0,0,0,4.25,NA
258,1,18,32,14,"1",1,0,0,0,4.25,5.05
260,1,24,22,-2,"1",1,0,0,0,4.25,5.05
262,1,16.5,14.25,-2.25,"1",1,0,0,0,4.25,5.05
264,1,7,16.5,9.5,"1",1,0,0,0,4.25,5.05
265,1,11,0,-11,"1",1,0,0,0,4.25,NA
267,1,19.5,47.5,28,"1",1,0,0,0,4.25,5.05
269,1,10,15.5,5.5,"2",0,1,0,0,4.45,5.05
273,1,13,10.5,-2.5,"2",0,1,0,0,4.62,5.05
275,1,10,7,-3,"2",0,1,0,0,4.25,5.05
277,1,12.5,11,-1.5,"2",0,1,0,0,4.25,5.05
278,1,8,8.5,0.5,"2",0,1,0,0,4.25,5.05
282,1,12,0,-12,"3",0,0,1,0,4.25,NA
284,1,20.5,15,-5.5,"3",0,0,1,0,4.5,5.05
285,1,18.5,13.5,-5,"3",0,0,1,0,4.75,5.05
286,1,11.5,12.5,1,"3",0,0,1,0,4.75,5.05
287,1,15,12.5,-2.5,"3",0,0,1,0,4.5,5.05
288,1,13,12.5,-0.5,"3",0,0,1,0,4.75,5.05
289,1,10,10,0,"3",0,0,1,0,4.25,5.05
290,1,17,13.5,-3.5,"4",0,0,0,1,4.75,5.05
291,1,17,16,-1,"4",0,0,0,1,4.55,5.1
292,1,20.5,23.5,3,"4",0,0,0,1,4.8,5.05
295,1,15.5,NA,NA,"1",1,0,0,0,4.75,5.05
297,1,19.5,34,14.5,"1",1,0,0,0,4.25,5.05
303,1,30.5,32.5,2,"3",0,0,1,0,4.35,5.05
304,1,23,21.5,-1.5,"3",0,0,1,0,4.5,5.05
305,1,13,20,7,"3",0,0,1,0,4.39,5.05
307,1,30.25,43.5,13.25,"3",0,0,1,0,4.25,5.2
310,1,18,17.5,-0.5,"4",0,0,0,1,4.25,5.05
312,1,10,7,-3,"1",1,0,0,0,4.25,5.05
313,1,19.5,NA,NA,"1",1,0,0,0,4.5,5.05
314,1,17,22,5,"1",1,0,0,0,4.62,5.25
316,1,25.5,22,-3.5,"1",1,0,0,0,4.62,5.05
317,1,6,7,1,"1",1,0,0,0,4.25,5.05
318,1,11.5,14,2.5,"2",0,1,0,0,4.75,5.05
319,1,8.5,27,18.5,"2",0,1,0,0,4.62,5.05
322,1,18.5,18.5,0,"3",0,0,1,0,4.75,5.05
325,1,15.5,11.5,-4,"3",0,0,1,0,4.5,5.05
333,1,14.25,16,1.75,"1",1,0,0,0,4.25,5.05
336,1,38,25,-13,"1",1,0,0,0,4.5,5.05
337,1,24.75,30.5,5.75,"1",1,0,0,0,4.87,5.05
339,1,23,11.5,-11.5,"1",1,0,0,0,4.25,5.05
340,1,24,25.5,1.5,"1",1,0,0,0,4.25,5.05
341,1,7.5,9.5,2,"2",0,1,0,0,4.62,5.05
343,1,15,11.5,-3.5,"2",0,1,0,0,4.75,5.05
346,1,9.25,12,2.75,"2",0,1,0,0,4.25,NA
348,1,11.25,0,-11.25,"3",0,0,1,0,4.25,NA
350,1,16.5,17,0.5,"3",0,0,1,0,4.75,5.05
351,1,18.75,24,5.25,"3",0,0,1,0,4.25,5.05
352,1,13.5,NA,NA,"3",0,0,1,0,4.75,NA
353,1,21.75,NA,NA,"3",0,0,1,0,4.37,5.05
355,1,13.5,13.5,0,"4",0,0,0,1,4.87,NA
359,1,15,17,2,"1",1,0,0,0,4.25,5.05
360,1,17.5,28,10.5,"1",1,0,0,0,4.25,5.05
361,1,17.5,21.5,4,"1",1,0,0,0,4.25,5.05
362,1,NA,30,NA,"2",0,1,0,0,4.25,5.05
363,1,15.5,19.5,4,"2",0,1,0,0,4.25,5.2
364,1,16.5,20,3.5,"2",0,1,0,0,4.25,5.05
366,1,13.5,14.5,1,"3",0,0,1,0,4.5,5.05
368,1,13,14.5,1.5,"4",0,0,0,1,4.25,5.05
369,1,11.5,0,-11.5,"1",1,0,0,0,4.35,NA
370,1,29.05,31.5,2.45,"1",1,0,0,0,4.85,5.05
376,1,13,11.5,-1.5,"1",1,0,0,0,4.5,5.05
377,1,18,20,2,"1",1,0,0,0,4.25,5.05
379,1,30,34,4,"1",1,0,0,0,4.62,5.05
380,1,20.5,25,4.5,"1",1,0,0,0,4.5,5.05
383,1,10,10,0,"1",1,0,0,0,4.5,5.05
384,1,NA,18,NA,"1",1,0,0,0,4.65,5.05
385,1,26,25,-1,"1",1,0,0,0,4.25,5.05
386,1,12.5,23,10.5,"1",1,0,0,0,4.25,5.05
391,1,19.5,17.5,-2,"2",0,1,0,0,4.25,5.05
393,1,12,23,11,"2",0,1,0,0,4.62,5.25
396,1,36,26,-10,"3",0,0,1,0,4.87,5.4
397,1,21,16.5,-4.5,"3",0,0,1,0,4.25,5.05
398,1,24.5,35.5,11,"3",0,0,1,0,4.75,5.05
399,1,20,31,11,"3",0,0,1,0,4.87,5.05
400,1,26.5,23,-3.5,"3",0,0,1,0,4.5,5.05
401,1,15,22.5,7.5,"3",0,0,1,0,4.25,5.05
402,1,19,21.5,2.5,"3",0,0,1,0,4.75,5.05
405,1,17.5,12,-5.5,"3",0,0,1,0,4.32,5.05
410,1,20.5,20.5,0,"1",1,0,0,0,4.25,5.05
411,1,21,25,4,"1",1,0,0,0,4.5,5.05
412,1,10.5,8.5,-2,"2",0,1,0,0,4.5,5.05
413,1,23,13,-10,"1",1,0,0,0,4.25,5.05
414,1,23,21.5,-1.5,"1",1,0,0,0,4.25,5.05
415,1,29,23,-6,"1",1,0,0,0,4.25,5.05
417,1,21,25.5,4.5,"1",1,0,0,0,4.25,5.05
418,1,41.5,21.5,-20,"1",1,0,0,0,4.25,5.05
419,1,12,9.5,-2.5,"2",0,1,0,0,4.25,5.05
421,1,33,36.5,3.5,"2",0,1,0,0,4.62,5.05
422,1,6.5,16,9.5,"2",0,1,0,0,4.75,5.05
423,1,9,23.75,14.75,"2",0,1,0,0,4.95,5.25
424,1,9.75,17.5,7.75,"2",0,1,0,0,4.75,5.25
426,1,24.5,20.5,-4,"3",0,0,1,0,4.25,5.05
427,1,14,20.5,6.5,"4",0,0,0,1,4.75,5.05
428,1,19.5,25,5.5,"4",0,0,0,1,4.62,5.14
